nome,base,acuracia,precisao,recall,f1Score
regLogL2_base3,base3,87.87878787878788,68.47826086956522,73.25581395348837,70.7865168539326
regLogL1_base3,base3,87.41258741258741,72.82608695652173,69.79166666666666,71.27659574468085
regLogE_base3,base3,86.94638694638695,66.30434782608695,70.93023255813954,68.53932584269663
multiNB1_base3,base3,84.61538461538461,50.0,69.6969696969697,58.22784810126582
multiNB2_base3,base3,84.84848484848484,70.65217391304348,63.10679611650486,66.66666666666667
multiNB3_base3,base3,79.48717948717949,57.608695652173914,51.9607843137255,54.639175257731964
bernouNB1_base3,base3,78.32167832167832,17.391304347826086,48.484848484848484,25.6
bernouNB2_base3,base3,79.72027972027972,39.130434782608695,53.73134328358209,45.28301886792453
bernouNB3_base3,base3,80.88578088578089,56.52173913043478,55.319148936170215,55.91397849462365
linearSVML1_base3,base3,86.01398601398601,71.73913043478261,66.0,68.75
linearSVML2_base3,base3,84.61538461538461,69.56521739130434,62.745098039215684,65.97938144329896
randomFG_base3,base3,86.24708624708624,66.30434782608695,68.53932584269663,67.40331491712706
randomFE_base3,base3,86.94638694638695,67.3913043478261,70.45454545454545,68.8888888888889
xgboost_base3,base3,85.54778554778555,67.3913043478261,65.95744680851064,66.66666666666667
regLogL2_base1,base1,87.64568764568764,72.82608695652173,70.52631578947368,71.65775401069519
regLogL1_base1,base1,87.41258741258741,72.82608695652173,69.79166666666666,71.27659574468085
regLogE_base1,base1,86.94638694638695,69.56521739130434,69.56521739130434,69.56521739130434
multiNB1_base1,base1,85.3146853146853,71.73913043478261,64.07766990291263,67.6923076923077
multiNB2_base1,base1,85.3146853146853,70.65217391304348,64.35643564356435,67.35751295336789
multiNB3_base1,base1,85.78088578088578,70.65217391304348,65.65656565656566,68.06282722513089
bernouNB1_base1,base1,86.24708624708624,72.82608695652173,66.33663366336634,69.43005181347151
bernouNB2_base1,base1,86.48018648018649,72.82608695652173,67.0,69.79166666666667
bernouNB3_base1,base1,86.7132867132867,73.91304347826086,67.32673267326733,70.46632124352332
linearSVML1_base1,base1,87.64568764568764,73.91304347826086,70.10309278350515,71.95767195767195
linearSVML2_base1,base1,87.41258741258741,72.82608695652173,69.79166666666666,71.27659574468085
randomFG_base1,base1,87.64568764568764,72.82608695652173,70.52631578947368,71.65775401069519
randomFE_base1,base1,87.64568764568764,72.82608695652173,70.52631578947368,71.65775401069519
xgboost_base1,base1,86.01398601398601,66.30434782608695,67.77777777777779,67.03296703296704
regLogL2_base90p,base90p,86.01398601398601,50.0,76.66666666666667,60.52631578947369
regLogL1_base90p,base90p,86.94638694638695,64.13043478260869,71.95121951219512,67.81609195402298
regLogE_base90p,base90p,86.94638694638695,57.608695652173914,75.71428571428571,65.43209876543209
multiNB1_base90p,base90p,85.08158508158508,58.69565217391305,67.5,62.7906976744186
multiNB2_base90p,base90p,86.01398601398601,61.95652173913043,69.51219512195121,65.51724137931033
multiNB3_base90p,base90p,85.78088578088578,47.82608695652174,77.19298245614034,59.06040268456375
bernouNB1_base90p,base90p,79.25407925407926,17.391304347826086,55.172413793103445,26.446280991735538
bernouNB2_base90p,base90p,81.35198135198135,35.869565217391305,61.111111111111114,45.20547945205479
bernouNB3_base90p,base90p,84.61538461538461,39.130434782608695,78.26086956521739,52.17391304347826
linearSVML1_base90p,base90p,87.17948717948718,64.13043478260869,72.8395061728395,68.20809248554912
linearSVML2_base90p,base90p,87.87878787878788,69.56521739130434,72.72727272727273,71.1111111111111
randomFG_base90p,base90p,86.48018648018649,51.08695652173913,78.33333333333333,61.84210526315789
randomFE_base90p,base90p,86.01398601398601,50.0,76.66666666666667,60.52631578947369
xgboost_base90p,base90p,85.3146853146853,51.08695652173913,72.3076923076923,59.87261146496816
regLogL2_base80p,base80p,86.7132867132867,63.04347826086957,71.60493827160494,67.05202312138728
regLogL1_base80p,base80p,86.24708624708624,69.56521739130434,67.36842105263158,68.44919786096257
regLogE_base80p,base80p,86.94638694638695,68.47826086956522,70.0,69.23076923076924
multiNB1_base80p,base80p,86.01398601398601,66.30434782608695,67.77777777777779,67.03296703296704
multiNB2_base80p,base80p,86.24708624708624,68.47826086956522,67.74193548387096,68.10810810810811
multiNB3_base80p,base80p,84.84848484848484,55.434782608695656,68.0,61.07784431137724
bernouNB1_base80p,base80p,83.68298368298368,55.434782608695656,63.74999999999999,59.30232558139535
bernouNB2_base80p,base80p,85.78088578088578,65.21739130434783,67.41573033707866,66.29834254143645
bernouNB3_base80p,base80p,85.54778554778555,55.434782608695656,70.83333333333334,62.19512195121951
linearSVML1_base80p,base80p,86.24708624708624,70.65217391304348,67.0103092783505,68.78306878306877
linearSVML2_base80p,base80p,86.94638694638695,71.73913043478261,68.75,70.2127659574468
randomFG_base80p,base80p,87.41258741258741,60.86956521739131,75.67567567567568,67.46987951807229
randomFE_base80p,base80p,86.94638694638695,58.69565217391305,75.0,65.85365853658539
xgboost_base80p,base80p,85.78088578088578,56.52173913043478,71.23287671232876,63.03030303030302
regLogL2_base70p,base70p,87.41258741258741,69.56521739130434,71.11111111111111,70.32967032967032
regLogL1_base70p,base70p,86.94638694638695,71.73913043478261,68.75,70.2127659574468
regLogE_base70p,base70p,86.94638694638695,69.56521739130434,69.56521739130434,69.56521739130434
multiNB1_base70p,base70p,86.94638694638695,75.0,67.64705882352942,71.13402061855669
multiNB2_base70p,base70p,86.48018648018649,73.91304347826086,66.66666666666666,70.10309278350515
multiNB3_base70p,base70p,85.3146853146853,65.21739130434783,65.93406593406593,65.57377049180327
bernouNB1_base70p,base70p,87.17948717948718,73.91304347826086,68.68686868686868,71.20418848167539
bernouNB2_base70p,base70p,86.48018648018649,71.73913043478261,67.3469387755102,69.47368421052632
bernouNB3_base70p,base70p,85.08158508158508,66.30434782608695,64.8936170212766,65.59139784946237
linearSVML1_base70p,base70p,87.41258741258741,70.65217391304348,70.65217391304348,70.65217391304348
linearSVML2_base70p,base70p,86.94638694638695,71.73913043478261,68.75,70.2127659574468
randomFG_base70p,base70p,88.11188811188812,69.56521739130434,73.5632183908046,71.50837988826815
randomFE_base70p,base70p,87.64568764568764,68.47826086956522,72.41379310344827,70.39106145251397
xgboost_base70p,base70p,86.48018648018649,67.3913043478261,68.88888888888889,68.13186813186812
