,tweet,data,rt,quote
55,@vcsabequemponto Ai amiga que coisa maravilhosa!!!!!,2022-03-31 02:11:18+00:00,,
56,@guilhermecoelo Por favor me conta na dm,2022-03-29 00:38:56+00:00,,
57,gente e essa fofoca de AS? tô pegando só os comentários e nada da fofoca,2022-03-28 14:24:52+00:00,,
58,@exaustodesofrer Github? Amigo oq vc tá fazendo com a sua vida? Fuja enquanto é tempo,2022-03-26 01:42:51+00:00,,
59,@VictorHundo @samapios Muito orgulho disso!!,2022-03-25 18:23:57+00:00,,
60,@shantayficagayr Onde isso???????????,2022-03-25 02:14:12+00:00,,
61,"@lcnjnr Caramba, fez inveja e jogou na cara da gente a tranquilidade",2022-03-24 23:42:48+00:00,,
62,"@clarabgs_ Vá com calma, tô no final de período e perto do final do curso, sou população de risco pra estresse kkkk!! Mas a gente ajeita essa cana de boas vindas ai",2022-03-24 00:22:48+00:00,,
63,"@clarabgs_ Eita arrasou, quando?",2022-03-24 00:19:33+00:00,,
64,@o_gabsferreira O lizeu,2022-03-23 23:31:41+00:00,,
65,"@clarabgs_ Pera, duas novidades incompletas na minha mesa, quero o resto da história!",2022-03-23 23:29:50+00:00,,
66,"Esse é o meu principal ranço com o tiktok, a galera faz tudo igual. Se uma coreografia viraliza é tanto stories do mesmo jeito q eu nem imagino como fica o tiktok https://t.co/VkvsCgqXuo",2022-03-23 11:55:03+00:00,,https://twitter.com/dacota_monteiro/status/1506370534409482251
67,Tô pior q os recrutador de ti e não tô conseguindo candidato pra nenhuma dessas vagas https://t.co/Xt2zet1eFw,2022-03-23 11:52:18+00:00,,https://twitter.com/forapemer/status/1506317138059055111
68,O quanto fora da jossa realidade atual é isso? Uma presidenta assistindo a apresentação de uma tese de doutorado sobre o golpe que sofreu https://t.co/eNU6FpBUfc,2022-03-23 11:45:28+00:00,,https://twitter.com/YMCBahia/status/1506393872947195904
69,mores do meu twitter qual linux vcs indicam que seja user friendly e não seja o ubuntu?,2022-03-21 23:31:29+00:00,,
70,"@matheusnotwit Amigo quando eu vi a foto da senhora trabalhando com o pc ai, eu pensei nisso",2022-03-19 03:28:25+00:00,,
71,@assumpreto_ Os colecionáveis do jovem adulto,2022-03-18 21:37:57+00:00,,
72,@lcnjnr E que email viu!!!!,2022-03-17 03:24:11+00:00,,
73,"@M4dmari Amiga aqui são 2kg de peito, 4 kg de coxa e sobrecoxa e acho q 1.5kg e carne boy por mês. Mas não como linguiça ou salsicha aqui, só frango, boi e ovo.",2022-03-17 03:22:45+00:00,,
74,"@camilodiniz @weemuska entendi, mesmo assim muito obrigado @camilodiniz",2022-03-17 02:51:30+00:00,,
75,"Muito difícil conseguir estatísticas de crimes contra a população LGBTQIA+ cometidos em redes sociais

É literalmente pro meu TCC",2022-03-16 01:45:08+00:00,,
76,A comunidade gay matou Paulo vaz,2022-03-15 00:07:03+00:00,,
77,Eu tô tremendo em choque por causa da morte do Paulo.,2022-03-14 23:24:41+00:00,,
78,"por favor, alguém me conta essa fofoca",2022-03-14 17:21:39+00:00,,
79,"Aaa a vida adulta...
Terminei uma faxina bebendo vodka depois de ter trabalhado e agora tô assistindo Friends ainda bebendo vodka",2022-03-12 01:41:53+00:00,,
