,tweet,data,rt,quote
230,"Primeira vez q eu vi uma dancinha de tiktok e gostei

 Será se o ranço pel arede social tá diminuindo?",2021-12-02 14:10:49+00:00,,
231,@tteusao Eita amigo,2021-12-02 09:44:29+00:00,,
232,@jescapalooza @lcnjnr É um suco isso ai,2021-11-30 00:02:32+00:00,,
233,@omrmatias Tu é maluco?? Eu encostei meu braço na parede e ia morrendo da dor,2021-11-29 23:59:37+00:00,,
234,@luandecrystal Vou comprar pelo menos umas almofadas e um tapete kkkkk,2021-11-29 14:42:31+00:00,,
235,@M4dmari Amém!!!!,2021-11-29 12:49:43+00:00,,
236,@martalais_ Amém,2021-11-29 01:31:45+00:00,,
237,Tô assistindo Cosmos desde tarde,2021-11-29 01:31:33+00:00,,
238,Assistir documentário me acalma demais,2021-11-29 01:31:17+00:00,,
239,"Tô toda hora pensando no ano que vem, será se vai dar certo ir morar em cg? Será se eu vou conseguir me sustentar com o salário que tenho agr? Vou conseguir comprar pelo menos um sofá pra receber meu amigos?
Aff que agonia",2021-11-28 23:00:11+00:00,,
240,Eu só desejo que esses foguetões estorem na mão de alguém e essa pessoa perca a mão pro resto da vida,2021-11-27 22:44:42+00:00,,
241,Até que enfim tô gostando de uma aula síncrona,2021-11-23 17:52:03+00:00,,
242,Oh sofrimento essa aula vei,2021-11-22 17:36:08+00:00,,
243,A segunda dose da pfizer deu o nome com a reação viu,2021-11-21 12:57:42+00:00,,
244,Eu fiquei passado com a porcentagem da pureza https://t.co/mrEkbvKloO,2021-11-18 01:02:06+00:00,,
245,"Não estou disposto bancar ser padrão, é muito caro",2021-11-14 23:22:29+00:00,,
246,O tédio bate as vezes tão forte q dá um desespero,2021-11-14 23:18:16+00:00,,
247,@omrmatias E num acabou n? Passado!,2021-11-14 15:11:09+00:00,,
248,@ambarlucid Same girl,2021-11-12 23:57:08+00:00,,
249,Mas o filme é muito bom!!!,2021-11-12 20:10:19+00:00,,
250,"Que tanto defeito nos efeitos/cgi de Shang Chi, eita Marvel tás começando a economizar agr?",2021-11-12 19:09:09+00:00,,
251,A burocracia da ufcg as vezes faz vc perder a vontade de tudo,2021-11-09 16:17:30+00:00,,
252,Gente eu estou muito chocado,2021-11-05 20:56:58+00:00,,
253,"Como não vim pro twitter só reclamar da vida?
Google pesquisar",2021-11-02 22:52:21+00:00,,
254,"cole isso no seu perfil e veja quantas pessoas: 

1: não simpatizam com você 
2: te acham legal ou querem amigar
3: tem um crush em você
4: te acham um psicopata",2021-11-02 22:47:11+00:00,,
255,"@oleolacerda @gabriellimaxx_ Eita amigo, tô velha já pra isso kkkkkkk",2021-10-29 14:12:11+00:00,,
256,Alguém sabe quais são as outras provedoras de internet de Olivedos?? Ou a Proxxima comprou todas pra terminar de estragar o meu ?,2021-10-28 13:45:48+00:00,,
257,"A pior empresa provedora de internet q já usei, pior atendente virtual, demora na resolução dos problemas. Não usem essa desgraça de empresa. Proxxima lixo",2021-10-28 13:34:54+00:00,,
258,"Oh empresa bosta é essa Proxxima, além dos diversos problemas que tive com conexão agora o financeiro dessa merda não funciona, cortando a internet mesmo o cliente pagando e demorando uma semana para resolver",2021-10-28 13:33:36+00:00,,
259,@samapios Eu me orgulho demais disso tudo,2021-10-27 00:20:49+00:00,,
260,"@eduardopds Eu ainda n paguei metodologia pq todo semestre ela dá choque com alguma cadeira, ai agr faltando pouquíssimas pra pagar mudaram de novo e tá dando choque com Projeto 2",2021-10-26 16:45:41+00:00,,
261,"Pqp vlh, como que uma cadeira do sexto período dá choque com tantas outras???????",2021-10-26 16:39:51+00:00,,
262,@VictorHundo @caesiufcg 4 anos???? Caramba!,2021-10-26 03:14:47+00:00,,
263,"@omrmatias Se tu achar me manda vlh, pq eu só faço reagir aos stories e sou um desastre",2021-10-26 03:13:32+00:00,,
264,"Sério mesmo, me convidem quero fazer uma maquiagem hehe https://t.co/LRFEZbMqzY",2021-10-25 02:46:42+00:00,,https://twitter.com/arcovrd/status/1452416713035747331
265,"Essa 10ª temporada foi a pior de American Horror Story, horrível",2021-10-25 02:09:03+00:00,,
266,@wesmath3us Tu sabe o motivo da pressão né? Kkkkk,2021-10-23 18:42:11+00:00,,
267,@SoftCircuits O tema de Campelo sobre polarização nas redes sociais,2021-10-23 16:17:47+00:00,,
268,@guilhermecoelo Passado kkkkkk,2021-10-23 16:01:57+00:00,,
269,@Alana15Lima Mulher eu vou querer morrer,2021-10-23 16:01:38+00:00,,
270,O meu maior pesadelo e eu tenho certeza que vai rolar https://t.co/ga5APdl4X6,2021-10-23 00:28:15+00:00,,https://twitter.com/sarahfernanda/status/1451009503709835269
271,Será se vou pegar o tema que eu quero para o mestrado?,2021-10-23 00:25:14+00:00,,
272,"@tteusao Amigo eu ontem e hoje, mas semana que vem farei a mesma coisa",2021-10-22 23:17:49+00:00,,
273,Quando o crush clica em crush na enquete que coloquei no insta e já acho q ele clicou sem querer 🤡🤡🤡,2021-10-22 23:16:42+00:00,,
274,Apaixonado por H.E.R.,2021-10-21 15:24:15+00:00,,
275,A expectativa que eu estou para essa novela/série tá muito alta https://t.co/xPwBw9sque,2021-10-20 02:43:25+00:00,,https://twitter.com/globoplay/status/1450627496777551873
276,"@maniacmadonna A vontade é grande, mas ser insistente é tão chato 
A vida do boiola n é fácil 😢",2021-10-20 00:53:58+00:00,,
277,"@clarabgs_ Não amiga, eu literalmente já fui atrás e recebi um não",2021-10-19 23:30:02+00:00,,
278,"E o crush nele ainda continua, mas já recebi o não uma vez",2021-10-19 23:13:43+00:00,,
279,"E chegou o momento, oq fazer pro tcc????",2021-10-13 21:39:21+00:00,,
280,Mas... Finalizei tudo do período. O penúltimo vem ai!!!!!,2021-10-13 21:35:45+00:00,,
281,Tenho medo de dizer q tô de férias antes de todas as notas saírem e o universo querer me fuder e jogar uma final nos meus peitos,2021-10-13 21:35:06+00:00,,
282,"E para  quem se interessar eu tentei analisar a influência da vacinação contra o covid no número de mortes.

https://t.co/NjjMo2ghy2",2021-10-09 23:29:53+00:00,,
283,"TERMINEI O PROJETO, VOU BEBER EM EDSON!",2021-10-09 23:28:24+00:00,,
284,@cadelinhafenty4 Vamos ver se o Edson me verá hoje,2021-10-09 15:24:31+00:00,,
285,Se eu terminar esse projetod e cdd hoje eu vou beber a noite,2021-10-09 14:23:23+00:00,,
286,"Primeira vez na vida q fiquei com vergonha de ficar sem camisa na frente de alguém, o povo é muito sem noção falando do corpo dos outros",2021-10-09 12:35:37+00:00,,
287,Me perdi no personagem e estou estudando pra compiladores,2021-10-06 01:49:26+00:00,,
288,Ei galera deem uma moralzinha aqui pra nós. Num instante vcs respondem esse form https://t.co/trNrHijLw3,2021-10-06 01:47:38+00:00,,https://twitter.com/_lucasmnf/status/1445440972276609026
289,"Quando vejo gente falando mal das produções audiovisuais brasileiras eu já penso:
""Colonizado de merda"".
Se liguem nessa thread e catem só alguns exemplos do quanto a cultura brasileira é foda! https://t.co/oI8TJvWu8S",2021-10-04 13:43:36+00:00,,https://twitter.com/RoneyDoMonte/status/1444479235981258753
290,"@RoneyDoMonte @trut1nha Tem a série ""Chão de Estrelas"" do canal Brasil. É baseada no filme Tatuagem de Hilton Lacerda",2021-10-04 13:41:28+00:00,,
291,@oleolacerda Tô vendo ai amigo,2021-10-02 22:28:45+00:00,,
292,@oleolacerda Mulher a senhora tá cheia dos mistérios essa semana,2021-10-02 14:42:53+00:00,,
293,"@tteusao Oh amigo, quantas vezes eu já n te disse isso",2021-10-01 15:46:44+00:00,,
294,A essa altura do campeonato viciado em Avril Lavigne de novo!,2021-09-29 14:09:35+00:00,,
295,Eu ainda n assisti um ep dessa nova temporada de American Horror Story,2021-09-28 22:22:35+00:00,,
296,"Esse vídeo me dá uma paz vlh. Assistam!
https://t.co/hx8dIbNk2y",2021-09-28 22:17:01+00:00,,
297,"É, acho que o lab vai ficar pra amanhã",2021-09-28 00:46:53+00:00,,
298,"@exaustodesofrer @NetflixBrasil Amiga vc tá criando mais espectativa em mim, eu só quero q tudo seja perfeito, vai virar minha série favorita com certeza",2021-09-25 22:50:09+00:00,,
299,"Eu chorei quando vi velho!!! Tá perfeito, @NetflixBrasil por favor n me decepcione https://t.co/uYcPN5arSB",2021-09-25 20:50:15+00:00,,https://twitter.com/NetflixGeeked/status/1441815015342891008
300,"Caro colega ""eu faria assim"" n é motivo para mudar meu código",2021-09-24 17:47:26+00:00,,
301,@judepaulla1 Renato,2021-09-23 16:45:32+00:00,,
302,"@juliobguedes Realmente isso tá agravando, mas é o jeito q a galera tá usando o insta. Um monte de empreendedor ou um monte de gente igual.",2021-09-23 14:49:06+00:00,,
303,"@luandecrystal Aah amigo, o twitter é transcendental, ele perpassa todas essas épocas",2021-09-23 13:00:13+00:00,,
304,"Quando o orkut ficou cagado a gente foi pro facebook, quando o facebook ficou cagado a gente foi pro instagram, agr q o instagram tá ficando cagado eu n estou com a menor vontade de ir pro tiktok, como faz agr? 
Inventem outra rede q n seja tão chata",2021-09-23 11:28:17+00:00,,
305,A última vez que eu me preocupei em editar fotos https://t.co/09IZJBHsRZ,2021-09-23 11:20:42+00:00,,https://twitter.com/ultrabatidao/status/1440694693390536719
306,"Sex Education tudo pra mim, que série perfeita, essa terceira temporada foi incrível",2021-09-23 03:12:11+00:00,,
307,@Bncall1 E tu mudou pra ela foi?,2021-09-21 10:35:22+00:00,,
308,"@luandecrystal É de massa, tô querendo investir na culinária q programação tá me estressando muito kkkk É claro que é de Italiano",2021-09-19 15:11:16+00:00,,
309,"@mylaura_m @caue_ce eu vi alguns comentários, mas quem falou essa babaquice ?",2021-09-19 14:20:20+00:00,,
310,Alguém conhece um curso massa de italiano em campina grande?,2021-09-19 14:19:05+00:00,,
311,Isso sou eu todo dia quando pego task do front https://t.co/mVratPlxIi,2021-09-18 11:01:51+00:00,,https://twitter.com/towernter/status/1438373520833122307
312,"@LittlePipica Eu tô muito passado kkkkkkk, todas tentativas de mudar de assunto e conseguir desenrolar a conversa kkkkkkk",2021-09-17 22:44:32+00:00,,
313,@oleolacerda Só desastre,2021-09-16 11:02:14+00:00,,
314,"Parece q eu tô seguindo no instagram um monte de empresa velho, todo mundo virou empreendedor. Um bucado de gente caindo na ideia de usar as redes sociais para ganhar dinheiro",2021-09-15 22:31:00+00:00,,
315,"@souproxxima Eu já liguei pra vcs, mas infelizmente continuo sem internet. Duas quartas seguidas perdendo coisas do trabalho por causa do serviço péssimo de vcs",2021-09-15 18:37:53+00:00,,
316,"@wesmath3us Liguei mulher, já saturei dessa atendente virtual, toda bugada",2021-09-15 18:13:49+00:00,,
317,"A Proxxima comprou a Ondanet só pra estragar o serviço, internet caindo por horas toda semana, a pior atendente virtual que tive contato, n contratem essa empresa!!!",2021-09-15 18:06:03+00:00,,
318,A vontade de beber hoje igual um doido tá grande,2021-09-11 19:41:56+00:00,,
319,@viioloncella amiga me passa,2021-09-10 18:37:17+00:00,,
320,@viioloncella Married and plastic surgery. O sugar daddy vem ai pra pagar as minhas plásticas,2021-09-09 13:23:32+00:00,,
321,Me divertindo horrores com os erros de inglês das manifestações ontem,2021-09-08 13:14:17+00:00,,
322,Infelizmente n tô podendo pagar com dinheiro agr então ... https://t.co/vGiezSM1s5,2021-09-08 01:38:01+00:00,,https://twitter.com/marcoglnd/status/1435256843408973824
323,"@eduardopds Terminei os códigos, meu cérebro parou antes de escrever os textos, vai ficar pra amanhã",2021-09-08 01:37:02+00:00,,
324,"@eduardopds Eu vou falar exatamente isso, que não dá pra responder com p-valor",2021-09-07 22:26:14+00:00,,
325,"@eduardopds Amigo num é pra fazer quase a mesma coisa do anterior, mas utilizando o p-valor, em vez do intervalo de confiança?",2021-09-07 22:13:12+00:00,,
326,Vc fazer uma atividade atrasada e terminar com ela tendo mais de 700 linhas de código é a prova da tentativa de tortura,2021-09-07 01:19:03+00:00,,
327,"@MatheuIan Pois lascou, nunca funcionou então. Tenho que arrumar outra tática",2021-09-06 20:22:58+00:00,,
328,Esse apagão por onde tanto?,2021-09-06 20:22:18+00:00,,
329,Reagir aos stories n conta como dar em cima n?,2021-09-06 14:57:30+00:00,,
330,"Eu fazendo o lab de cdd escutando música no aleatório, do nada entra a música nova de Taty girl e tenho q parar tudo pq me sinto num bar morto de bêbado sofrendo por amor",2021-09-06 14:32:49+00:00,,
331,Fico dando close no Instagram depois fico com preguiça de tirar a maquiagem https://t.co/lYjz1vjDOl,2021-09-06 02:51:25+00:00,,
332,Viúva Ngera já começa assim?,2021-09-06 00:48:13+00:00,,
333,"Será se o meu gosto musical é aleatório? Estou viciado nas músicas novas da Gaby Amarantos, Taty girl e Iggy Azalea",2021-09-05 22:00:39+00:00,,
334,Parece q a cada dia a agonia de n ver a galera só aumenta,2021-09-05 20:10:49+00:00,,
335,SIM!! https://t.co/E5wMCO3iZy,2021-09-05 19:58:35+00:00,,https://twitter.com/filhodaneuminha/status/1434540042010103813
336,Quando aperta eu recorro à maquiagem e à bebida pra me desestressar https://t.co/kr6PEFCMKG,2021-09-05 19:01:20+00:00,,
337,@wesmath3us Ele tá mais que certo,2021-09-01 12:06:39+00:00,,
338,"@eduardopds eu vou lindamente atrasar a entrega desse, impossível eu terminar todos os requisitos a tempo",2021-08-31 02:06:15+00:00,,
339,E vamos de assistir o Snider Cut depois de meses,2021-08-29 23:12:14+00:00,,
340,eu acho que eu não consigo mais entrar em um relacionamento monogâmico,2021-08-29 19:43:07+00:00,,
341,De onde saiu tanto fã de Kanye West?,2021-08-29 19:18:49+00:00,,
342,Aproveitando o final de semana pra colocar as produções da Marel e da DC em dia,2021-08-29 15:53:10+00:00,,
343,Ei Aves de Rapina é bom demais,2021-08-29 15:52:34+00:00,,
344,"Caralho, esse final de Loki",2021-08-29 00:42:11+00:00,,
345,"Loki é bissexual?? Amei. ""A bit of both...""",2021-08-28 21:38:53+00:00,,
346,"@zabeullaaaa o aniversariante, o que pegou um homem e duas mulheres kkkkkk",2021-08-27 00:31:17+00:00,,
347,"Se vc se sente bem em expor sua orientação sexual, isso não faz das pessoas que n se sentem assim babacas",2021-08-27 00:29:07+00:00,,
348,"Eu ainda sou a favor do Max de Itaporanga, senti que o de Patos forçou uma saída do armário ai q foi bem escrota da parte dele",2021-08-27 00:28:11+00:00,,
349,@omrmatias lindo e vacinadoo 😍😍😍😍,2021-08-27 00:27:26+00:00,,
350,Eu sou time Itaporanga,2021-08-26 21:46:40+00:00,,
351,@eduardopds Inventor da bissexualidade kkkkkkkkkk,2021-08-26 21:44:52+00:00,,
352,"Essa dos max² alegrou a minha manhã, gente eu queria q esses fossem os problemas da comunidade gls, a vida da gente ia ser bem mais fácil",2021-08-26 14:28:05+00:00,,
353,"@eduardopds Eu quero n passar pela pressão, faltam uns dois meses pra começar ptcc, ai quero pensar logo nisso",2021-08-25 15:43:44+00:00,,
354,O que diabo eu vou fazer pro tcc???????,2021-08-25 13:05:30+00:00,,
355,"Eu organizo minha rotina pra ter tempo de estudar para próximas provas e quando chega no horário que reservei pra estudar eu quero fazer qualquer coisa, menos assistir vídeo de compiladores",2021-08-24 23:55:43+00:00,,
356,@wesmath3us @carlyjr_ num entendi o ataque duas vezes no mesmo dia,2021-08-24 20:19:56+00:00,,
357,"@wesmath3us @carlyjr_ é pq eu mudo de personalidade quando tô em Olivedos, deixe eu voltar pra CG pra vc ver",2021-08-24 14:36:31+00:00,,
358,"@mattsandria certo amigo, vou ajeitar os contatos",2021-08-24 14:35:32+00:00,,
359,"@carlyjr_ @wesmath3us e agr vcs estão descobrindo o real motivo de eu ter parado de morar com essa bicha, tóxica demais comigo,  logo eu um anjo kkkkkk",2021-08-24 14:23:18+00:00,,
360,"@wesmath3us vichi bicha, me deixa querer pelo menos kkkkkkk",2021-08-24 14:10:35+00:00,,
361,"@wesmath3us nam amigo, quero nada virtual não",2021-08-24 14:03:35+00:00,,
362,"@tteusao brasileiro tbm, eu vi gente de 20 anos na fila da vacina elogiando os estados unidos",2021-08-24 14:02:30+00:00,,
363,"@MatheuIan Isso é frequente e já aconteceu com diversos amigos meus, mas taca o foda-se amigo, literalmente. E sempre deixe um negócio bem claro na sua cabeça: você n é responsável pelo pensamento que os outros tem de você",2021-08-24 14:01:24+00:00,,
364,queria arrumar um namorado gringo pra treinar meu inglês,2021-08-24 13:37:59+00:00,,
365,Eu querendo voltar pra academia e o covid comendo no centro em Olivedos,2021-08-24 11:54:15+00:00,,
366,"não dá para eu seguir qualquer pessoa q eu não tenha intimidade, a pessoa posta uma indireta ou só o começo da fofoca e eu n tenho coragem de perguntar sobre o resto da história",2021-08-24 00:26:30+00:00,,
367,"""Como conhecer pessoas online, odiando redes sociais"" google pesquisa",2021-08-24 00:23:25+00:00,,
368,Tá complicado,2021-08-23 11:42:39+00:00,,
369,@LittlePipica Vala amigo oq houve kkkkk?,2021-08-02 23:10:22+00:00,,
370,"Era para ser somente 15 dias de pandemia e eu:

- voltei pra casa dos meus pais
- fiz 4 tatuagens
- troquei de projeto
- deixei meu cabelo crescer
- engordei +- 20 kg https://t.co/2pS867xy37",2021-08-02 23:09:56+00:00,,https://twitter.com/74grabowski/status/1422151760697827333
371,A fofoca move o mundo,2021-08-02 01:07:54+00:00,,
372,"@morrergo Não importa o que vc fez, quando querem vim com essa conversa até o ar q vc respira é motivo",2021-07-25 23:40:14+00:00,,
373,"@nubank eu entrei, pelo visto o problema não é com o serviço de streaming n",2021-07-23 13:25:57+00:00,,
374,"Fui todo animado assinar a hbo max e o @nubank me gongou, pq me odeia tanto??",2021-07-23 01:19:19+00:00,,
375,@LittlePipica É pro resto da vida mesmo?,2021-07-23 00:00:20+00:00,,
376,Viciado na Ambar Lucid,2021-07-19 01:22:59+00:00,,
377,Duas imagens que ilustram muito bem o capitalismo https://t.co/hJW93QZra4,2021-07-19 01:22:38+00:00,,https://twitter.com/o_jurunense/status/1416442118470578176
378,"Vlh sério que tiraram uma música de Pabllo na metade lá em Edson. A pessoa de casa escutando Pabllo tocar no bar e  o pessoal tira no meio, sem paciência para essas babaquices desse bar viu",2021-07-18 01:47:06+00:00,,
379,@paprikathan Essa cor é perfeita,2021-07-16 23:37:10+00:00,,
380,"Velho assistam esse vídeo sobre o racismo em RPDR
https://t.co/zu9KlXzw8L",2021-07-12 02:36:21+00:00,,
381,Eu ia estudar e acabei me maquiando https://t.co/s09ZaZaXhL,2021-07-11 16:13:43+00:00,,
382,Consegui caralho!!!!!!,2021-07-11 13:52:27+00:00,,
383,"Acordar no domingo de manhã e ir fazer um gráfico de barras no rstudio q vc desistiu na noite passada, minha vida é muito legal hehe",2021-07-11 12:55:04+00:00,,
384,@emanarmoura 😍😍😍😍,2021-07-09 11:08:37+00:00,,
385,@omrmatias Oh quem fala 😍😍,2021-07-09 11:08:17+00:00,,
386,@oleolacerda 😘😘😘,2021-07-09 11:07:52+00:00,,
387,@_sergioduarte 🔥🔥😘,2021-07-09 02:15:16+00:00,,
388,@mateusrangel0 🔥🔥🔥,2021-07-09 00:29:27+00:00,,
389,@viioloncella 😘😘😍😍😍,2021-07-08 22:16:47+00:00,,
390,Tirar o aparelho é a melhor sensação do mundo https://t.co/yoshIsGLEY,2021-07-08 20:50:36+00:00,,
391,@Eu_Diogoo Na máquina virtual ou na tua máquina mesmo?,2021-07-08 20:49:40+00:00,,
392,@MatheuIan Por algum milagre eu nem comecei Loki e n peguei spoiler ainda,2021-07-08 12:25:37+00:00,,
393,@Eu_Diogoo Deu certo amigo? Se precisar de ajuda pode me chamar,2021-07-08 12:24:52+00:00,,
394,Esse ep de RPDR saindo de madrugada fica difícil ficar longe de spoiler,2021-07-08 12:19:25+00:00,,
395,"@tteusao Ah quenga, mulher tu tá falando de quem louca?",2021-07-07 23:04:35+00:00,,
396,"Ei vcs de computação que tem como hobby programar, when did the hurt begin?",2021-07-06 01:34:58+00:00,,
397,ATENÇÃO!! É PRO TCC DA MINHA AMIGA! https://t.co/NT9PHd4COe,2021-07-06 01:03:51+00:00,,https://twitter.com/gabriellimaxx_/status/1412200702248685568
398,@na_emys @sozinharocha A solução vai ser criar outro discord só pra essas fofocas kkkkk,2021-07-05 18:19:34+00:00,,
399,@74grabowski @iel0ww Ei @iel0ww bora atualizar a gente ae,2021-07-05 11:51:10+00:00,,
400,@oleolacerda @Rick_thenbhd Ei realmente até eu tava lá ontem kkkkkk,2021-07-05 02:56:07+00:00,,
401,"Ei eu tô precisando me atualizar dos namoros da galera de cc, uns acabaram , uns iniciaram 😏",2021-07-05 01:56:49+00:00,,
402,"@mattsandria Amigo n brinque com o meu coração, onde q tá isso?????",2021-07-03 00:20:42+00:00,,
403,"+Continuem verificando qual o plano de governo melhor, se é o de Ciro ou o de Lula, que a gente vai dar uma voltinha e parar no mesmo canto",2021-07-02 19:53:39+00:00,,
404,Eu n tenho mais esperança no Brasil. Mesmo depois de toda essa desgraça tem gente ainda achando que política é só eleição e fazendo planos para o ano que vem.+,2021-07-02 19:52:32+00:00,,
405,@EuWebe Ai arrasou vlh!!! 👏👏❤️,2021-07-02 18:50:07+00:00,,
406,@_sergioduarte @martalais_ É perfeito!!! Muito bom mesmo,2021-07-01 00:09:31+00:00,,
407,@cadelinhafenty4 Eu fiquei passado quando soube disso,2021-07-01 00:08:47+00:00,,
408,Nunca achei q rock em Italiano seria a coisa mais linda que já escutei na vida,2021-06-30 22:30:33+00:00,,
409,Mais claro que me apaixonei pela banda somente pela música maravilhosa https://t.co/rdke6AP5BK,2021-06-30 22:29:26+00:00,,
410,I WANNA BE YOUR SLAVE é magnífica,2021-06-30 22:23:41+00:00,,
411,Vlh descobri Maneskin hoje e não consigo parar de escutar,2021-06-30 22:23:16+00:00,,
412,Nem um pouquinho!! Pqp que perfeição @dudabeat,2021-06-30 15:38:48+00:00,,
413,Me senti muito baby boomer falando friend zone,2021-06-30 02:45:35+00:00,,
414,O pior q ainda tenho um crush nele,2021-06-30 02:43:40+00:00,,
415,"Recebo um fora e depois viro amigo do boy, nam vlh essa rota pra friend zone já tá conhecida demais",2021-06-30 02:43:22+00:00,,
416,"@viioloncella Vou pedir sim, a atividade de sexta fui tentar adiantar e n passei do import",2021-06-30 02:19:36+00:00,,
417,@mattsandria Vou tentar amanhã mesmo,2021-06-30 02:18:52+00:00,,
418,"Deu de estresse por hoje, vou continuar a ler Drácula",2021-06-30 01:09:34+00:00,,
419,"A pessoa todo animado pra fazer atividade de cdd, leva uma rasteira do RStudio e tá a mais de uma hora tentando rodar um import, desisto",2021-06-30 01:07:41+00:00,,
420,"@wesmath3us @RaJahOHara @thatonequeen Bicha isso num é verdade n, foi pq Bob disse q queria ver eles dois trasando",2021-06-29 12:22:37+00:00,,
421,@alifedejao Claro que não,2021-06-28 22:36:54+00:00,,
422,PQP!!!!!! https://t.co/k0EqwkRa9m,2021-06-27 23:29:48+00:00,,https://twitter.com/rdtmidia/status/1409259596938682375
423,Gente q história é essa de sororidade com a Zambelli????,2021-06-27 21:17:37+00:00,,
424,Ver pessoas com ódio do capitalismo e debatendo um mundo que quero viver é revigorante,2021-06-27 21:08:01+00:00,,
425,"Eu tava estressado, sem querer ler nada, assistir nada, nem estudar. Para me acalmar eu fui assistr o Boteco Comunista, tá funcionando!",2021-06-27 21:07:16+00:00,,
426,Essa quarentena veio pra acabar com o resto de saúde de quem n gosta de se comunicar virtualmente,2021-06-27 19:20:46+00:00,,
427,"Meus dias estão todo iguais, muito agoniante",2021-06-27 17:23:20+00:00,,
428,Eu amo o conceito da gay não padrão desconstruída que só pega gay padrão,2021-06-27 14:55:17+00:00,,
429,Já tô vendo uma botas cano alto batendo no cuzão da @pabllovittar e ela dançando zapzumzumzum🎶 #BatidaoTropical,2021-06-25 00:46:25+00:00,,
430,"Vou pedir pra Edson abrir o bar, vou chegar com um carro de som pra escutar #BatidãoTropical o resto da noite",2021-06-25 00:40:09+00:00,,
431,Gente vcs conseguem imaginar as performances dessas músicas! É só oq eu tô pensando agr #BatidaoTropical,2021-06-25 00:31:28+00:00,,
432,EU TO GRITANDO COM ESSA PERFEIÇÃO! https://t.co/yzRoYO3nTI,2021-06-25 00:30:06+00:00,,https://twitter.com/pabllovittar/status/1408220144019685377
433,"Pqp!!!!!! A melhor, a mais inteligente, a mais talentosa! Brigado @pabllovittar por existir #BatidaoTropical https://t.co/dRZdePldIA",2021-06-25 00:22:58+00:00,,https://twitter.com/pabllovittar/status/1408218385801003008
434,Triste com T é perfeita! Já vejo Mara Pavanelly e Taty Girl catando ela #BatidãoTropical,2021-06-25 00:19:09+00:00,,
435,@pabllovittar me dá motivo de ter orgulho de ser brasileiro #BatidaoTropical,2021-06-25 00:17:37+00:00,,
436,As expectativas estão altas num nível vlh! E depois que vi a tracklist quase chorei! https://t.co/POPYzDNYV6,2021-06-24 23:45:56+00:00,,https://twitter.com/pabllovittar/status/1408205737218785280
437,O tt inteiro mandando olhar a lua e em Olivedos super nublado,2021-06-24 22:47:22+00:00,,
438,"@SoftCircuits @zenanzao @zenanzao meu eterno buddie, bem que eu queria q fosse Renan",2021-06-24 15:35:30+00:00,,
439,E vamos de trabalhar com gente q n gosto,2021-06-24 13:15:22+00:00,,
440,Que tortura,2021-06-23 12:19:43+00:00,,
441,A galera realmente quer continuar o histórico racista dessa cidade né,2021-06-04 13:12:28+00:00,,
442,Passado que a bicha mais branca que um saco de farinha foi aprovada na universidade usando cota racial,2021-06-04 13:11:40+00:00,,
443,É errado assistir #Castlevania e concordar com Drácula?,2021-05-29 14:28:42+00:00,,
444,A gente tenta né,2021-05-27 03:36:07+00:00,,
445,@mateusrangel0 Eu comcei a usar creme de pentear para cachos. Acho que qualquer produto finalizador de cachos funciona,2021-05-26 02:20:55+00:00,,
446,"@mateusrangel0 Eu vou na hora 😏💃, se liga como tá https://t.co/LXfkyjKjZ3",2021-05-26 02:17:13+00:00,,
447,@juliobguedes Azul hortênsia da Risque é o meu favorito,2021-05-26 00:44:47+00:00,,
448,vlh ter começado a usar produto para cabelo cacheado/ondulado foi a melhor coisa que fiz no meu mês,2021-05-26 00:42:15+00:00,,
449,agora que paguei todas as cadeiras voltarei para essa rede amigável e de poucas fofocas,2021-05-25 14:44:11+00:00,,
450,DENALIIIIIIIIIII  #DragRace,2021-04-17 01:07:32+00:00,,
451,The worst reunited ever #DragRace,2021-04-17 00:30:59+00:00,,
452,é sério que não teremos o top4 no reunited?,2021-04-17 00:27:19+00:00,,
453,O twitter caiu bem na hora que ia reclamar desse reunited,2021-04-17 00:27:03+00:00,,
454,@wesmath3us @shantayficagay @exaustodesofrer @jadysjose Aleluia,2021-04-08 20:16:22+00:00,,
455,O pai do Rodolffo #ForaRodolffo https://t.co/HOsBnzxSkT,2021-04-06 03:16:28+00:00,,
456,Vlh como que uma pessoa fala um negócio desses #ForaRodolffo,2021-04-06 02:37:32+00:00,,
457,Gente racista e homofóbico tem q sair #FORARODOLFO,2021-04-05 02:52:35+00:00,,
458,Quero campanha de todo mundo agr #FORARODOLFO,2021-04-05 02:50:01+00:00,,
459,"@wesmath3us @portallegendary @jadysjose @exaustodesofrer Vlh se isso for mentira do 1th abril eu vou ter raiva, mexeu com meu sonho",2021-04-01 17:27:43+00:00,,
460,@wesmath3us @shantayficagay Nam home kkkkkk,2021-03-29 16:28:30+00:00,,
461,@LittlePipica Veio ai????,2021-03-25 20:18:00+00:00,,
462,Eu queria entender pq o clima de Olivedos é tão diferente do de Campina,2021-03-08 17:55:57+00:00,,
463,E vamos tentar novamente com o twitter,2021-03-08 17:29:38+00:00,,
464,"Uma das semanas mais estressantes do ano, ótimo jeito de começar o período na próxima",2021-02-17 15:03:38+00:00,,
465,"@victoralmeidap Nam misericórdia, rodolfo muito homofóbico",2021-02-16 02:28:21+00:00,,
466,Agora é tirar o microbiano,2021-02-08 03:10:51+00:00,,
467,Meu amigo a única chance do 17 se redimir pqp,2021-02-08 03:08:54+00:00,,
